game,score,moves,highest_tile
1,788,186,128
2,1148,200,256
3,600,150,128
4,324,95,64
5,892,175,128
6,1088,211,256
7,644,141,128
8,392,101,64
9,548,142,128
10,724,149,128
11,316,97,64
12,1112,208,256
13,456,142,128
14,548,133,128
15,316,103,64
16,1172,212,256
17,532,115,128
18,952,203,256
19,996,189,256
20,1292,187,256
21,452,136,128
22,1452,268,256
23,984,202,256
24,836,204,256
25,1184,214,256
26,720,162,128
27,252,86,64
28,580,146,128
29,528,103,128
30,1376,241,256
31,688,227,256
32,448,110,64
33,1124,192,256
34,688,145,128
35,716,139,128
36,832,204,256
37,960,206,256
38,1148,254,256
39,448,114,64
40,1020,201,256
41,724,145,128
42,1300,266,256
43,1392,245,256
44,500,145,128
45,1188,204,256
46,476,141,128
47,556,141,128
48,528,137,128
49,648,150,128
50,1260,244,256
51,1264,229,256
52,1004,183,256
53,1316,257,256
54,716,155,256
55,1304,212,256
56,816,163,256
57,772,161,128
58,620,166,128
59,564,162,128
60,568,149,128
61,572,143,128
62,452,130,128
63,656,156,128
64,408,136,128
65,636,140,128
66,520,138,128
67,508,144,128
68,1132,259,256
69,680,162,128
70,576,140,128
71,448,146,128
72,504,138,128
73,456,118,128
74,308,99,64
75,204,82,64
76,1320,253,256
77,1240,226,256
78,760,178,256
79,1212,218,256
80,496,160,128
81,944,182,256
82,428,136,128
83,776,171,128
84,280,91,64
85,316,116,128
86,516,140,128
87,480,121,128
88,1300,237,256
89,436,122,128
90,348,97,64
91,724,161,128
92,624,174,128
93,340,101,64
94,552,156,128
95,1308,198,256
96,572,176,128
97,1596,294,256
98,968,193,256
99,1232,273,256
100,572,148,128
