game,score,moves,highest_tile
1,732,169,128
2,2320,393,512
3,1736,261,256
4,2828,369,512
5,1656,243,256
6,940,209,256
7,1408,245,256
8,1472,212,256
9,1128,205,256
10,2472,328,512
11,692,176,128
12,708,152,128
13,588,148,128
14,808,148,128
15,2532,345,512
16,1900,258,256
17,1312,255,256
18,1216,244,256
19,672,140,128
20,2600,365,512
21,792,182,256
22,1696,287,256
23,820,207,256
24,444,105,128
25,540,128,128
26,1252,206,256
27,728,150,128
28,2376,360,512
29,708,136,128
30,1596,278,256
31,1260,246,256
32,1192,247,256
33,704,160,128
34,716,140,128
35,1468,238,256
36,2048,314,512
37,1408,225,256
38,1128,251,256
39,1448,256,256
40,1488,247,256
41,1656,255,256
42,1700,271,256
43,328,92,64
44,976,177,128
45,2044,383,512
46,2256,348,512
47,508,132,128
48,1388,226,256
49,1416,214,256
50,1008,212,256
51,1488,277,256
52,2468,371,512
53,1620,257,256
54,1452,257,256
55,844,205,256
56,576,141,128
57,856,191,256
58,924,197,128
59,1456,244,256
60,1284,258,256
61,440,130,128
62,1524,242,256
63,788,167,128
64,576,143,128
65,1156,199,256
66,2420,377,512
67,776,159,128
68,1476,274,256
69,1368,247,256
70,1504,272,256
71,1576,267,256
72,1200,242,256
73,1352,258,256
74,648,135,128
75,1116,234,256
76,1096,212,256
77,1228,229,256
78,1104,212,256
79,1632,246,256
80,1272,251,256
81,548,153,128
82,2456,322,512
83,748,146,128
84,1252,202,256
85,1360,257,256
86,564,126,128
87,1476,244,256
88,2008,416,512
89,564,132,128
90,1260,212,256
91,1244,247,256
92,916,168,256
93,928,207,256
94,1688,271,256
95,1196,257,256
96,1728,280,256
97,1464,254,256
98,1036,200,256
99,1620,248,256
100,1508,260,256
