game,score,moves,highest_tile
1,384,107,128
2,516,130,128
3,48,49,32
4,480,121,128
5,512,115,128
6,116,60,32
7,260,87,64
8,292,118,128
9,360,102,64
10,288,90,64
11,300,78,64
12,300,120,128
13,356,107,128
14,416,126,128
15,192,86,64
16,236,90,64
17,256,90,64
18,112,61,32
19,136,59,32
20,456,128,128
21,824,180,256
22,336,114,64
23,532,111,128
24,172,95,64
25,244,98,64
26,264,97,64
27,944,192,256
28,420,132,128
29,440,121,128
30,592,124,128
31,304,89,64
32,300,93,64
33,568,139,128
34,192,80,64
35,184,85,64
36,280,87,64
37,108,81,64
38,564,123,128
39,676,174,256
40,228,78,64
41,544,143,128
42,304,84,64
43,320,119,128
44,168,83,64
45,172,100,64
46,316,112,64
47,612,149,128
48,96,48,32
49,332,114,64
50,92,56,32
51,408,125,128
52,276,86,64
53,404,117,128
54,200,99,64
55,184,78,32
56,240,108,64
57,192,90,64
58,216,105,64
59,332,102,128
60,236,90,64
61,248,97,64
62,216,84,64
63,240,77,64
64,508,129,128
65,568,117,128
66,204,97,64
67,112,53,32
68,264,94,64
69,244,85,64
70,432,127,128
71,48,43,16
72,212,89,64
73,432,122,128
74,388,133,128
75,104,56,32
76,132,64,32
77,200,85,64
78,240,70,32
79,352,102,128
80,128,69,32
81,412,114,128
82,168,89,64
83,252,94,64
84,280,114,64
85,508,108,128
86,324,100,64
87,276,105,128
88,608,151,128
89,412,108,128
90,340,127,64
91,104,66,32
92,388,115,128
93,228,77,64
94,328,102,64
95,464,140,128
96,368,90,64
97,300,88,64
98,244,76,32
99,480,122,128
100,360,130,128
