game,score,moves,highest_tile
1,672,163,128
2,288,76,64
3,484,120,128
4,108,60,32
5,712,139,128
6,564,139,128
7,640,141,128
8,280,86,64
9,144,61,32
10,280,86,64
11,428,156,128
12,184,67,64
13,636,143,128
14,288,76,64
15,260,97,64
16,204,81,64
17,416,104,64
18,364,118,128
19,248,86,64
20,292,82,64
21,636,149,128
22,244,85,64
23,616,144,128
24,316,103,64
25,840,174,256
26,468,139,128
27,352,94,64
28,232,72,64
29,224,70,64
30,616,125,128
31,616,137,128
32,352,102,64
33,268,94,64
34,576,138,128
35,204,73,64
36,332,85,64
37,264,88,64
38,312,104,64
39,492,128,128
40,332,108,64
41,468,139,128
42,268,83,64
43,464,159,128
44,240,94,64
45,380,102,128
46,732,137,128
47,520,143,128
48,296,89,64
49,744,156,128
50,388,107,64
51,684,151,128
52,820,139,128
53,320,108,128
54,672,138,128
55,204,88,64
56,496,123,128
57,348,103,64
58,512,127,128
59,164,65,32
60,968,200,256
61,192,86,64
62,984,228,256
63,312,100,64
64,340,112,64
65,652,153,256
66,240,85,64
67,176,66,32
68,860,170,128
69,428,119,128
70,492,139,128
71,168,74,32
72,504,125,128
73,260,75,64
74,196,73,64
75,688,135,128
76,356,101,64
77,368,120,128
78,448,129,128
79,200,75,64
80,248,80,64
81,548,118,128
82,652,187,128
83,1152,165,256
84,528,140,128
85,624,141,128
86,1000,189,256
87,504,149,128
88,304,85,64
89,108,83,64
90,436,109,64
91,460,122,128
92,232,93,64
93,204,82,64
94,504,130,128
95,512,114,128
96,348,89,64
97,576,123,128
98,144,73,64
99,260,84,64
100,628,152,128
